url,status,detalhe,timestamp_utc
https://developer.adobe.com/commerce/webapi/graphql/schema/attributes/mutations/set-custom-invoice,saved,output/developer-adobe-com__commerce__webapi__graphql__schema__attributes__mutations__set-custom-invoice.md,2026-07-01T18:19:33.767798+00:00
https://developer.adobe.com/commerce/webapi/graphql/schema/attributes/mutations/set-custom-negotiable-quote,saved,output/developer-adobe-com__commerce__webapi__graphql__schema__attributes__mutations__set-custom-negotiable-quote.md,2026-07-01T18:19:34.788381+00:00
https://developer.adobe.com/commerce/webapi/graphql/schema/attributes/mutations/set-custom-invoice-item,saved,output/developer-adobe-com__commerce__webapi__graphql__schema__attributes__mutations__set-custom-invoice-item.md,2026-07-01T18:19:35.810860+00:00
https://developer.adobe.com/commerce/webapi/graphql/schema/attributes/mutations/set-custom-credit-memo-item,saved,output/developer-adobe-com__commerce__webapi__graphql__schema__attributes__mutations__set-custom-credit-memo-item.md,2026-07-01T18:19:36.832096+00:00
https://developer.adobe.com/commerce/webapi/reference/graphql/saas,saved,output/developer-adobe-com__commerce__webapi__reference__graphql__saas.md,2026-07-01T18:19:37.853044+00:00
https://developer.adobe.com/commerce/webapi/graphql/schema/catalog-service/queries/products,saved,output/developer-adobe-com__commerce__webapi__graphql__schema__catalog-service__queries__products.md,2026-07-01T18:19:38.925883+00:00
https://developer.adobe.com/commerce/webapi/graphql/schema/live-search,saved,output/developer-adobe-com__commerce__webapi__graphql__schema__live-search.md,2026-07-01T18:19:39.960934+00:00
https://developer.adobe.com/commerce/webapi/graphql/schema/catalog-service,saved,output/developer-adobe-com__commerce__webapi__graphql__schema__catalog-service.md,2026-07-01T18:19:41.024183+00:00
https://developer.adobe.com/commerce/webapi/graphql/schema/catalog-service/queries/categories,saved,output/developer-adobe-com__commerce__webapi__graphql__schema__catalog-service__queries__categories.md,2026-07-01T18:19:42.100431+00:00
https://developer.adobe.com/commerce/webapi/graphql/schema/product-recommendations,saved,output/developer-adobe-com__commerce__webapi__graphql__schema__product-recommendations.md,2026-07-01T18:19:43.125182+00:00
https://developer.adobe.com/commerce/webapi/reference/graphql/2-4-8,saved,output/developer-adobe-com__commerce__webapi__reference__graphql__2-4-8.md,2026-07-01T18:19:44.201375+00:00
https://developer.adobe.com/commerce/webapi/reference/rest/saas,saved,output/developer-adobe-com__commerce__webapi__reference__rest__saas.md,2026-07-01T18:19:45.272460+00:00
https://developer.adobe.com/commerce/webapi/rest/authentication/server-to-server,saved,output/developer-adobe-com__commerce__webapi__rest__authentication__server-to-server.md,2026-07-01T18:19:46.307100+00:00
https://developer.adobe.com/commerce/webapi/get-started/authentication/gs-authentication-token,saved,output/developer-adobe-com__commerce__webapi__get-started__authentication__gs-authentication-token.md,2026-07-01T18:19:47.391707+00:00
https://developer.adobe.com/commerce/webapi/get-started/authentication,error,HTTP 404,2026-07-01T18:19:48.486565+00:00
https://developer.adobe.com/commerce/webapi/rest/authentication,saved,output/developer-adobe-com__commerce__webapi__rest__authentication.md,2026-07-01T18:19:48.498240+00:00
https://developer.adobe.com/commerce/webapi/get-started/authentication/gs-authentication-oauth,saved,output/developer-adobe-com__commerce__webapi__get-started__authentication__gs-authentication-oauth.md,2026-07-01T18:19:49.557941+00:00
https://developer.adobe.com/commerce/webapi/rest/authentication/user,saved,output/developer-adobe-com__commerce__webapi__rest__authentication__user.md,2026-07-01T18:19:50.600032+00:00
https://developer.adobe.com/commerce/webapi/reference/rest/paas,saved,output/developer-adobe-com__commerce__webapi__reference__rest__paas.md,2026-07-01T18:19:51.631638+00:00
https://developer.adobe.com/commerce/services/reporting/import-api,saved,output/developer-adobe-com__commerce__services__reporting__import-api.md,2026-07-01T18:19:52.660195+00:00
https://developer.adobe.com/commerce/services/reporting/export-api,saved,output/developer-adobe-com__commerce__services__reporting__export-api.md,2026-07-01T18:19:53.805974+00:00
https://developer.adobe.com/commerce/services/reporting/libraries,saved,output/developer-adobe-com__commerce__services__reporting__libraries.md,2026-07-01T18:19:54.834523+00:00
https://developer.adobe.com/commerce/services/optimizer/merchandising-services,saved,output/developer-adobe-com__commerce__services__optimizer__merchandising-services.md,2026-07-01T18:19:55.976540+00:00
https://developer.adobe.com/commerce/services/shared-services/storefront-events/sdk,saved,output/developer-adobe-com__commerce__services__shared-services__storefront-events__sdk.md,2026-07-01T18:19:57.038800+00:00
https://developer.adobe.com/commerce/pwa-studio/integrations/product-recommendations,error,HTTP 404,2026-07-01T18:19:58.096239+00:00
https://developer.adobe.com/commerce/services/shared-services/storefront-events/collector/verify,saved,output/developer-adobe-com__commerce__services__shared-services__storefront-events__collector__verify.md,2026-07-01T18:19:58.110764+00:00
https://developer.adobe.com/commerce/services/shared-services/storefront-events/collector,saved,output/developer-adobe-com__commerce__services__shared-services__storefront-events__collector.md,2026-07-01T18:19:59.258300+00:00
https://developer.adobe.com/commerce/services/shared-services/storefront-events/reference/storefront-events,saved,output/developer-adobe-com__commerce__services__shared-services__storefront-events__reference__storefront-events.md,2026-07-01T18:20:00.366178+00:00
https://developer.adobe.com/commerce/services/shared-services/implementation/tutorial,saved,output/developer-adobe-com__commerce__services__shared-services__implementation__tutorial.md,2026-07-01T18:20:01.423567+00:00
https://developer.adobe.com/commerce/services/reference/rest,saved,output/developer-adobe-com__commerce__services__reference__rest.md,2026-07-01T18:20:02.457825+00:00
https://developer.adobe.com/commerce/services/optimizer/data-ingestion/using-the-api,saved,output/developer-adobe-com__commerce__services__optimizer__data-ingestion__using-the-api.md,2026-07-01T18:20:03.516835+00:00
https://developer.adobe.com/commerce/marketplace/guides/sellers/account-setup,saved,output/developer-adobe-com__commerce__marketplace__guides__sellers__account-setup.md,2026-07-01T18:20:04.678515+00:00
https://developer.adobe.com/commerce/marketplace/guides/sellers/sales,saved,output/developer-adobe-com__commerce__marketplace__guides__sellers__sales.md,2026-07-01T18:20:05.828022+00:00
https://developer.adobe.com/commerce/marketplace/guides/sellers/submit-for-review,saved,output/developer-adobe-com__commerce__marketplace__guides__sellers__submit-for-review.md,2026-07-01T18:20:06.965466+00:00
https://developer.adobe.com/commerce/marketplace/guides/sellers/content,saved,output/developer-adobe-com__commerce__marketplace__guides__sellers__content.md,2026-07-01T18:20:07.989116+00:00
https://developer.adobe.com/commerce/marketplace/guides/sellers/submit-for-technical-review,saved,output/developer-adobe-com__commerce__marketplace__guides__sellers__submit-for-technical-review.md,2026-07-01T18:20:09.013640+00:00
https://developer.adobe.com/commerce/marketplace/guides/sellers/technical-review-guidelines,saved,output/developer-adobe-com__commerce__marketplace__guides__sellers__technical-review-guidelines.md,2026-07-01T18:20:10.040687+00:00
https://developer.adobe.com/commerce/marketplace/guides/sellers/submit-for-marketing-review,saved,output/developer-adobe-com__commerce__marketplace__guides__sellers__submit-for-marketing-review.md,2026-07-01T18:20:11.075935+00:00
https://developer.adobe.com/commerce/webapi/rest/tutorials/prerequisite-tasks,saved,output/developer-adobe-com__commerce__webapi__rest__tutorials__prerequisite-tasks.md,2026-07-01T18:20:12.103773+00:00
https://developer.adobe.com/commerce/extensibility/webhooks/tutorial/best-practices,saved,output/developer-adobe-com__commerce__extensibility__webhooks__tutorial__best-practices.md,2026-07-01T18:20:13.166060+00:00
https://developer.adobe.com/commerce/extensibility/webhooks/conditional-webhooks,saved,output/developer-adobe-com__commerce__extensibility__webhooks__conditional-webhooks.md,2026-07-01T18:20:14.362498+00:00
https://developer.adobe.com/commerce/extensibility/admin-ui-sdk/configuration,saved,output/developer-adobe-com__commerce__extensibility__admin-ui-sdk__configuration.md,2026-07-01T18:20:15.394678+00:00
https://developer.adobe.com/commerce/extensibility/admin-ui-sdk/eligible-extensions-config,saved,output/developer-adobe-com__commerce__extensibility__admin-ui-sdk__eligible-extensions-config.md,2026-07-01T18:20:16.424272+00:00
